country,country_code,year,PPPPC,rule_law,control_corruption,government_effectiveness,regulatory_quality,tax_efficiency,justice,state_reform,public_policy,government_tax,starting_business,public_services,territorial_coverage,poverty,unemp_youth,literacy,gini,mortality_u5,maternal_mortality,sanitation,electricity
Seychelles,718,2012,23318.05953,-0.037300225,0.333638549,0.375671357,-0.309874833,,,,,31.68380242,,,,,,98.97133636,,14.2,,98.4,100
Sierra Leone,724,2012,1611.358393,-0.872940123,-0.951817334,-1.204361677,-0.706518173,1,2.400000095,2.75,1.799999952,10.73628558,3.5,0.800000012,0.166666672,0,5,64.3006897,33.99,141.6,1510,12.8,14.2
Singapore,576,2012,77023.01909,1.772433281,2.154503345,2.15190506,1.963062048,4,3.599999905,3.75,3.200000048,13.73361126,4,3.599999905,4,3,9,99.88414764,,2.8,12,100,100
Slovak Republic,936,2012,26419.2706,0.456414998,0.066757165,0.826428056,1.029749036,3.5,2.799999952,3.25,2.200000048,15.72908036,4,2.599999905,3.166666746,2.5,33.90000153,,26.12,7.9,6,98.8,100
Slovenia,961,2012,28434.31101,0.980554104,0.813005149,1.018601298,0.609758615,3.75,2.799999952,2.25,3.200000048,21.80876235,3,4,4,2,20.60000038,99.85601044,25.59,3,8,99.1,100
Solomon Islands,813,2012,1842.175337,-0.601499259,-0.449912339,-0.824381471,-1.070547581,,,,,29.89262005,,,,,9.300000191,,,30.7,126,28.9,22.80671
South Africa,199,2012,12602.42025,0.075322188,-0.165250883,0.325196862,0.374088883,3,1.600000024,2.5,2.400000095,23.18194488,2.5,0.800000012,1.666666627,2,52.20000076,98.88204193,63.38,47.7,152,64.7,85.4
South Sudan,733,2012,1645.33342,-1.387369275,-1.341986895,-1.594489217,-1.497045636,0,0,2,0.400000006,1.608540346,1,0,1,,,,,102.8,857,6.6,5.062558
Spain,184,2012,32495.71677,1.043137193,1.047875762,1.107991099,0.945198655,3,2.799999952,3,2.400000095,21.18169823,3,2.799999952,3.833333254,3.5,54.29999924,99.66925812,35.89,4.4,5,99.9,100
Sri Lanka,524,2012,8874.564131,-0.10789381,-0.243176535,-0.23651585,-0.118354492,2,2.599999905,3.75,2.400000095,,3,2.799999952,1.666666627,0.5,16.60000038,98.15792847,38.58,10.4,32,93.8,88.66256
St. Kitts and Nevis,361,2012,19200.07327,0.704717875,0.982705295,0.837543726,0.389901966,,,,,20.32339425,,,,,,,,11.7,,,90.87544
St. Lucia,362,2012,11346.67106,0.608305514,0.961992919,0.575262904,0.303379565,,,,,21.31688779,,,,,,,,15.4,50,89.5,90.87544
St. Vincent and the Grenadines,364,2012,10153.8333,0.880135536,0.982705295,0.837543726,0.331340641,,,,,23.00587386,,,,,,,,19.8,47,,75.90575
Sudan,732,2012,4109.592797,-1.208492041,-1.512159586,-1.457651496,-1.511996746,2,3,3,2,5.446188515,2,2.599999905,1.5,0,22.70000076,88.48841095,,76.3,330,23.5,32.56256
Suriname,366,2012,15337.47202,-0.102256171,-0.368676841,0.00908277,-0.376764923,,,,,18.98000239,,,,1,17.39999962,98.37664032,,23.4,155,79.3,100
Swaziland,734,2012,8979.564718,-0.46029532,-0.359871984,-0.549251437,-0.562046587,,,,,28.62847029,,,,,42,93.50229645,,72.6,400,57.5,42
Sweden,144,2012,44057.79597,1.934624553,2.307923079,1.941425681,1.891969085,4,3.599999905,4,3.200000048,39.59400782,4,3,4,4,24.20000076,,27.32,3,4,99.3,100
Switzerland,146,2012,55541.27704,1.811934471,2.154942274,1.876983643,1.662568808,3,3.599999905,3,3,20.07606578,4,4,4,4,8.5,,31.64,4.3,6,99.9,100
Syria,463,2012,,-1.100878239,-1.172921777,-1.221848965,-1.562048316,2.25,3,2.5,2.799999952,,3,3.200000048,2.5,2,33.70000076,95.85722351,,16,56,95.7,96.26256
Taiwan Province of China,528,2012,42220.43527,1.042085886,0.723416388,1.140209079,1.190404296,2.75,3,3,2.599999905,,4,4,3.666666746,4,,,,,,,
Tajikistan,923,2012,2376.184539,-1.175579906,-1.175938487,-0.933211088,-1.006199479,,,,,17.18919152,,,,,15.39999962,99.87181091,,49.3,34,94.4,100
Tanzania,738,2012,2406.729049,-0.558983088,-0.802464247,-0.692533612,-0.398635626,2,2.400000095,2.25,2.200000048,11.56559412,2,2,1.166666627,0.5,6,85.94000244,37.78,55.7,464,14,15.3
Thailand,578,2012,14692.9518,-0.172069579,-0.34392938,0.207400754,0.229754806,2.5,2.400000095,2.25,2,17.67107085,3,2,2.666666746,1.5,3.099999905,96.59757233,39.26,13.5,22,93.2,100
Timor-Leste,537,2012,7550.666175,-1.198706746,-0.979453385,-1.193464398,-1.024330735,,,,,1.447039812,,,,,13.39999962,79.52868652,,58.7,267,39.8,41.56256
Togo,742,2012,1338.136151,-0.940458536,-1.019853115,-1.325619221,-0.856231928,1.75,0.600000024,1.75,2,15.39940225,2,1.200000048,0.833333313,0,10.69999981,79.88591003,46.02,85.8,391,11.5,31.46256
Tonga,866,2012,4682.112479,0.026580676,-0.072081663,-0.193722084,-0.59905839,,,,,16.42845648,,,,,,99.43703461,,17.5,135,91.3,95.86256
Trinidad and Tobago,369,2012,30666.55762,-0.188460618,-0.291909814,0.402594179,0.219313771,,,,,27.80686465,,,,2,12.39999962,99.58959198,,22.2,63,91.5,99.8278
Tunisia,744,2012,10710.96181,-0.155400187,-0.145372614,-0.048557941,-0.20779939,2.5,1.600000024,2.75,2.200000048,21.12794628,3.5,2.799999952,2.833333254,2.5,32.79999924,97.30444336,35.81,15.8,64,90.3,100
Turkey,186,2012,18192.07627,0.035493381,0.167224064,0.403769344,0.413982421,1.25,2,3.25,1.799999952,20.1885253,3,2.400000095,2.5,2,17.10000038,99.22743225,40.17,16.5,19,93.7,100
Turkmenistan,925,2012,11686.37899,-1.375360131,-1.344764113,-1.293389678,-2.095428467,3,2.200000048,4,1.600000024,8.28232796,1.5,1.799999952,2.166666746,,20.70000076,99.83390045,,56.5,45,,100
Tuvalu,869,2012,3116.188082,0.460252434,-0.296622038,-0.687199473,-1.250055194,,,,,15.02298401,,,,,,,,29.8,,83.3,44.56256
Uganda,746,2012,1839.375248,-0.358589083,-0.981396377,-0.568042636,-0.243830889,1,1.799999952,2.5,1.600000024,10.43202923,3,1.799999952,1.333333373,0,7.400000095,83.65888214,42.37,64.1,395,18.5,18.16256
Ukraine,926,2012,8540.551495,-0.794578195,-1.029386878,-0.583272576,-0.608598769,1.75,1.600000024,2,0.800000012,25.94205468,2,2.599999905,3.5,0.5,17.29999924,99.76918793,24.55,10.6,25,95.8,100
United Arab Emirates,466,2012,62461.5069,0.559347391,1.176153898,1.137963772,0.678619266,3.666666746,0.800000012,4,2.200000048,22.80971996,3.5,2.599999905,3.833333254,3.5,9.800000191,,,7.8,6,97.5,97.69783
United Kingdom,112,2012,37286.28063,1.689937472,1.639714479,1.527082443,1.636208296,4,3.799999952,4,4,,4,4,4,3.5,21.39999962,,32.57,4.8,10,99.2,100
United States,111,2012,51384.0016,1.604821086,1.377651334,1.511175156,1.282546639,3.75,2.799999952,2.75,2.599999905,18.61690163,3.5,2.599999905,4,3.5,16.5,,41.06,7.1,14,100,100
Uruguay,298,2012,18868.83822,0.542646229,1.319136381,0.444958836,0.395739496,3,3.200000048,2.25,2.599999905,18.32564337,3.5,1.600000024,2.5,2.5,18.5,98.92975616,41.87,11.6,16,95.9,99.5
Uzbekistan,927,2012,4802.914541,-1.266955972,-1.226476669,-0.93964839,-1.61192131,1.25,2.200000048,2.5,1.200000048,20.32041884,1.5,2,1.833333373,,20.60000038,99.94441986,,43.2,38,100,100
Vanuatu,846,2012,2527.456976,0.243789151,0.442809403,-0.222729191,-0.766994476,,,,,16.54684803,,,,,,95.19148254,37.18,28.6,87,57.9,27.07681
Venezuela,299,2012,18233.87908,-1.685615659,-1.243127584,-1.136798739,-1.537550807,3,2,4,1.600000024,10.88714296,1,2.200000048,2.333333254,1,17.10000038,97.55915833,,16.1,98,94,100
Vietnam,582,2012,5003.436134,-0.503984809,-0.559310019,-0.290682942,-0.682855248,2.75,1.399999976,2,2.599999905,19.02503057,2.5,2.200000048,2,2,5,,38.7,23.5,56,73.1,99
Yemen,474,2012,3717.976256,-1.265080571,-1.230741382,-1.275767446,-0.695986867,,,,,7.035899415,,,,1,30.20000076,88.40950775,,48.4,410,53.3,48.40671
Zambia,754,2012,3746.607185,-0.40269056,-0.357603788,-0.499716699,-0.428807944,3,2.599999905,2.75,2.400000095,14.67215999,2,2.400000095,3,0,26.60000038,,55.62,74.4,243,43.2,22.06256
Zimbabwe,698,2012,1885.146662,-1.6117661,-1.269812465,-1.198275089,-1.828320265,2.25,1,2.5,0.800000012,26.28940667,1.5,2.400000095,1.333333373,0,8.300000191,90.93070221,,78.5,379,37.3,40.46256
Kosovo,967,2012,,-0.563283801,-0.634941638,-0.387494832,-0.038034923,,,,,,,,,,,,26.71,,,,100
Somalia,726,2012,,-2.450159073,-1.590732694,-2.22544384,-2.256539345,0,0,0,0,,0,0,0,0,10.5,,,150.6,791,,32.70795
North Korea,850,2012,,-1.252846003,-1.372858286,-1.928125143,-2.525228024,,,,,,,,,0,10.69999981,,,28.7,91,81.8,29.56256
West Bank & Gaza,970,2012,,-0.455685735,-0.607427239,-0.75327009,0.109696507,,,,,,,,,,,,,,,,
