country,country_code,year,PPPPC,rule_law,control_corruption,government_effectiveness,regulatory_quality,tax_efficiency,justice,state_reform,public_policy,government_tax,starting_business,public_services,territorial_coverage,poverty,unemp_youth,literacy,gini,mortality_u5,maternal_mortality,sanitation,electricity
Estonia,939,2012,26318.29912,1.1267308,0.979861915,0.960775912,1.404978037,3,3.200000048,3,3,20.15640424,3.5,3.200000048,2.5,2.5,21,99.94889832,33.15,3.8,9,97.2,100
Ethiopia,644,2012,1354.311665,-0.655894995,-0.607123673,-0.435695618,-1.065479636,2.5,2.200000048,3.5,2.400000095,11.47287837,3,2.200000048,2.166666746,0,7.900000095,,33.17,67.7,447,24.3,26.56256
Fiji,819,2012,7437.142415,-0.801310837,-0.450732797,-0.899121404,-0.601498544,,,,,,,,,,20.20000076,,,23.5,33,91.1,59.32891
Finland,172,2012,40340.00532,1.943375111,2.22157979,2.214470387,1.822767377,3.75,3.599999905,4,3.200000048,29.94249048,4,3.799999952,3.666666746,4,17.79999924,,27.12,2.7,3,97.6,100
France,132,2012,39251.04956,1.431004524,1.421854019,1.329257607,1.115846634,4,2.799999952,3,2,26.93824275,4,3.400000095,4,3.5,23.79999924,,33.1,4.3,9,98.7,100
Gabon,646,2012,18767.98174,-0.451088548,-0.551935911,-0.775525212,-0.507423878,2,1.600000024,2,0.400000006,14.24138351,3,0.400000006,2.333333254,1,34.59999847,88.50414276,,57.7,314,41.4,89.3
"Gambia, The",648,2012,1569.03144,-0.54363209,-0.642585695,-0.512952149,-0.229674384,,,,,14.45846006,,,,0,10.69999981,70.72154999,,76.1,741,58.7,34.5268
Georgia,915,2012,8006.204751,-0.02880536,0.250530988,0.565478325,0.67648232,2.25,2.799999952,3.25,3,25.39078113,4,2.799999952,2.166666746,,33.79999924,99.79766846,40.03,14.4,39,88.1,100
Germany,134,2012,44179.10271,1.637591362,1.782724261,1.574946284,1.52886951,4,4,3.75,2.799999952,22.65349237,4,4,4,3.5,8.100000381,,30.13,4,7,99.2,100
Ghana,652,2012,3774.79815,-0.036002465,-0.103126362,-0.072416857,0.116533421,3,2.599999905,2.25,2.200000048,15.36817829,3.5,1.799999952,2,0.5,7.400000095,85.71614838,,69.2,324,14.4,64.06256
Greece,174,2012,25637.77655,0.393226475,-0.254630774,0.307492346,0.498129159,1.75,2.599999905,2.5,2.200000048,24.02983201,2,3,3.166666746,3,54.70000076,99.40248871,36.68,4.7,3,99,100
Grenada,328,2012,11251.81632,0.140024215,0.403514087,0.305826694,0.357519656,,,,,17.96146884,,,,,,,,12.7,27,98,90.87544
Guatemala,258,2012,7103.497638,-1.097239971,-0.615639567,-0.763261855,-0.17674613,2,2,2,2,10.84806738,2.5,1.799999952,1,0.5,5.599999905,91.85191345,52.35,32.1,105,62.9,78.5
Guinea,656,2012,1236.928024,-1.43270278,-1.072872758,-1.278465867,-1.019595265,2.25,1.200000048,2.75,2,19.19777226,2.5,1,0.5,0.5,1.399999976,31.40641594,33.73,104,695,18.9,26.2
Guinea-Bissau,654,2012,1426.953146,-1.519757271,-1.225528479,-1.243866324,-1.239101768,,,,,7.655957746,,,,0,11,75.30380249,50.66,105.2,553,20.2,60.60672
Guyana,336,2012,6157.953845,-0.519333184,-0.750784993,-0.13979964,-0.633386374,,,,,20.30941259,,,,0.5,23.10000038,,,41.2,239,83.6,79.46677
Haiti,263,2012,1632.340064,-1.344262481,-1.244544029,-1.626324415,-0.953607917,2.25,2.200000048,2.5,2.200000048,12.76975392,4,1.799999952,0.5,0,17.29999924,,60.79,75.2,372,26.7,37.9
Honduras,268,2012,4515.532071,-1.170671701,-0.940050125,-0.717460096,-0.199134737,2,2.400000095,2.25,2,15.30802187,3,2.200000048,1.666666627,0.5,7.099999905,95.67707062,53.67,22.6,141,80,82.2
Hong Kong SAR,532,2012,51107.64904,1.556327105,1.712429404,1.824478149,1.94696939,4,4,3.25,3.400000095,,4,4,4,3,9.300000191,,,,,,100
Hungary,944,2012,22905.02147,0.595098078,0.277985871,0.618972421,0.967399597,2.5,2.599999905,2.75,1.200000048,25.42375723,4,3,3.5,2.5,27.89999962,98.86704254,30.55,6.3,16,98,100
Iceland,176,2012,41053.77836,1.672111154,1.866363406,1.485534549,1.076925039,3.75,3.599999905,4,2.599999905,,4,4,3,4,13.39999962,,26.94,2.2,3,98.8,100
India,534,2012,5032.612011,-0.104713805,-0.564926863,-0.181257144,-0.479036272,1.75,1.799999952,1.75,2.400000095,17.0612209,2,2,0.666666687,2,10.69999981,86.1448822,,54.5,197,37.5,78.7
Indonesia,536,2012,9554.342029,-0.59714663,-0.656442344,-0.290839672,-0.276489615,2.25,1.200000048,1.75,2,12.47484811,3,0.600000024,0.666666687,1.5,20.29999924,98.77799988,35.57,30.4,148,58.8,96
Iran,429,2012,16888.60057,-0.900591731,-0.81753844,-0.541476071,-1.42573154,2,1.799999952,1.5,0.600000024,5.52715193,2,2.599999905,2.833333254,2.5,28.29999924,98.01439667,37.35,17.5,26,89.6,100
Iraq,433,2012,14986.09521,-1.497481346,-1.235274434,-1.112922192,-1.270209789,0,1.200000048,2,1.600000024,1.035694726,2.5,1,1.166666627,0,32.40000153,81.95002747,29.54,34.8,51,84.8,100
Ireland,178,2012,46770.13866,1.729727745,1.446902633,1.529895902,1.556833744,4,3.400000095,3,3,23.48613317,4,3.200000048,4,4,30.39999962,,32.52,4,8,90.3,100
Israel,436,2012,31461.27696,0.916885078,0.83014673,1.251756787,1.154779196,3.5,3.599999905,2.75,3.400000095,24.18145456,4,3.400000095,4,3,12.30000019,,42.78,4.3,5,100,100
Italy,136,2012,35556.67641,0.360747725,-0.027668117,0.41013974,0.732497633,2.25,2.799999952,3,2.599999905,30.2116328,3,3.400000095,3.5,3.5,35.20000076,99.92350769,35.16,3.8,4,99.5,100
Jamaica,343,2012,8378.207008,-0.413298339,-0.362436473,-0.021947678,0.231945977,2,2.799999952,1.5,2.200000048,24.01125801,3,2,1.666666627,2.5,32.90000153,96.09719086,,17.2,92,81.7,92.63344
Japan,158,2012,35634.64811,1.323077679,1.61405766,1.396789193,1.126713514,4,3,3,2.799999952,,2.5,3.799999952,4,3.5,7.800000191,,,3,6,100,100
Jordan,439,2012,11422.49877,0.372858167,0.069069207,-0.036482763,0.179882929,2,2.200000048,3,1,15.25734494,2,2.400000095,2.5,0.5,31.29999924,99.10572052,33.66,19.6,59,98.6,99.5
Kazakhstan,916,2012,21745.78693,-0.663047552,-0.885970473,-0.441337079,-0.389111042,2.75,1.799999952,2,2.400000095,23.61455916,3,2.599999905,1,2.5,4.599999905,,26.35,17.9,15,97.5,100
Kenya,664,2012,2842.108558,-0.865690887,-1.093986154,-0.538847446,-0.310146868,3,2.400000095,3.25,2.799999952,15.57795065,3,2.400000095,2.333333254,0,17.29999924,,,55.6,562,29.6,23
Kiribati,826,2012,1602.795864,0.111206345,0.003199638,-0.834148526,-1.359515667,,,,,15.06767587,,,,,,,,60.4,101,39.7,59.32891
Korea,542,2012,32488.7275,0.968832314,0.463426113,1.198903441,0.886190593,3.25,3,3,2.200000048,14.73839539,3,3,2.666666746,3,8.899999619,,,3.8,13,100,100
Kuwait,443,2012,71612.54226,0.384552956,-0.16143848,-0.076751016,-0.04809523,1,2.200000048,2,1.399999976,0.703335701,1.5,2,2.666666746,3.5,21.10000038,99.15374756,,9.9,4,100,97.69783
Kyrgyz Republic,917,2012,2870.349357,-1.151353002,-1.090718627,-0.658688188,-0.345559567,,,,,20.58532029,,,,,16.60000038,,27.37,25.7,81,93,100
Lao P.D.R.,544,2012,4336.882529,-0.828194797,-1.041702509,-0.878177941,-0.836585522,1.25,1,3,1.799999952,15.51665336,3,2.200000048,1.833333373,,3.299999952,,37.89,74,250,64.6,70
Latvia,941,2012,21460.24096,0.758241773,0.153845236,0.829816461,1.004758358,1.75,2.799999952,2.5,2.599999905,,4,2.200000048,4,2.5,28.29999924,99.83543396,35.48,8.7,18,86.5,100
Lebanon,446,2012,17037.30431,-0.75154686,-0.867037833,-0.341555864,-0.123846568,1.25,1.600000024,1.25,1.600000024,15.32016666,3,0.800000012,1.5,2,20.79999924,,,9.3,17,80.7,100
Lesotho,666,2012,2649.57908,-0.286636561,0.105559707,-0.387807816,-0.537228346,,,,,53.38753818,,,,,36,,54.18,94.1,549,29.3,20.56256
Liberia,668,2012,825.7233615,-0.924505055,-0.586680472,-1.170606613,-1.052833319,1,2.400000095,2.75,1.799999952,21.11692898,3,0.800000012,0.166666672,0,5,,,80.3,787,16.1,9.8
Libya,672,2012,24045.41669,-1.148038268,-1.401646972,-1.489979625,-1.660081267,1,1.799999952,2,1.200000048,,2,1.600000024,2.333333254,2.5,46.20000076,99.92935944,,15.1,9,96.6,100
