,country,year,PPPPC
0,Afghanistan,2012,1875.016406
1,Albania,2012,10517.93921
2,Algeria,2012,13273.17388
3,Angola,2012,6670.668082
4,Anguilla,2012,29051.18791
5,Antigua and Barbuda,2012,21496.7179
6,Argentina,2012,21341.90415
7,Armenia,2012,7418.097755
8,Australia,2012,44298.31136
9,Austria,2012,45379.11594
